106,3,Sep 10 2016,4:00 PM,Sat,Colorado State,23,,Texas-San Antonio,14,CAMP,Sonny Lubick Field at Hughes Stadium - Fort Collins Colorado
107,3,Sep 10 2016,12:00 PM,Sat,East Carolina,33,,North Carolina State,30,ESPNU,Dowdy-Ficklen Stadium - Greenville North Carolina
108,3,Sep 10 2016,3:30 PM,Sat,Eastern Illinois,21,@,Miami (OH),17,ESPN3,Fred Yager Stadium - Oxford Ohio
109,3,Sep 10 2016,3:30 PM,Sat,Florida,45,,Kentucky,7,CBS,Ben Hill Griffin Stadium - Gainesville Florida
110,3,Sep 10 2016,12:30 PM,Sat,(3) Florida State,52,,Charleston Southern,8,ESPN3,Doak Campbell Stadium - Tallahassee Florida
111,3,Sep 10 2016,10:00 PM,Sat,Fresno State,31,,Sacramento State,3,,Bulldog Stadium - Fresno California
112,3,Sep 10 2016,12:00 PM,Sat,(9) Georgia,26,,Nicholls State,24,SECN,Sanford Stadium - Athens Georgia
113,3,Sep 10 2016,7:00 PM,Sat,Georgia Southern,24,@,South Alabama,9,ESPN3,Ladd-Peebles Stadium - Mobile Alabama
114,3,Sep 10 2016,3:00 PM,Sat,Georgia Tech,35,,Mercer,10,,Bobby Dodd Stadium - Atlanta Georgia
115,3,Sep 10 2016,11:59 PM,Sat,Hawaii,41,,Tennessee-Martin,36,,Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu Hawaii
116,3,Sep 10 2016,12:00 PM,Sat,(6) Houston,42,,Lamar,0,ESPN3,TDECU Stadium - Houston Texas
117,3,Sep 10 2016,3:30 PM,Sat,Illinois State,9,@,Northwestern,7,BTN,Ryan Field - Evanston Illinois
118,3,Sep 10 2016,4:00 PM,Sat,Indiana,30,,Ball State,20,ESPNN,Memorial Stadium - Bloomington Indiana
119,3,Sep 10 2016,7:30 PM,Sat,(16) Iowa,42,,Iowa State,3,BTN,Kinnick Stadium - Iowa City Iowa
120,3,Sep 10 2016,7:30 PM,Sat,(21) Louisiana State,34,,Jacksonville State,13,ESPNU,Tiger Stadium - Baton Rouge Louisiana
121,3,Sep 10 2016,7:00 PM,Sat,Louisiana Tech,53,,South Carolina State,24,,Joe Aillet Stadium - Ruston Louisiana
122,3,Sep 10 2016,7:00 PM,Sat,Louisiana-Lafayette,30,,McNeese State,22,ESPN3,Cajun Field - Lafayette Louisiana
123,3,Sep 10 2016,6:00 PM,Sat,Marshall,62,,Morgan State,0,,Joan C. Edwards Stadium - Huntington West Virginia
124,3,Sep 10 2016,12:00 PM,Sat,Maryland,41,@,Florida International,14,,
125,3,Sep 10 2016,6:00 PM,Sat,(25) Miami (FL),38,,Florida Atlantic,10,,Hard Rock Stadium - Miami Gardens Florida
126,3,Sep 10 2016,12:00 PM,Sat,(5) Michigan,51,,Central Florida,14,ABC,Michigan Stadium - Ann Arbor Michigan
127,3,Sep 10 2016,12:00 PM,Sat,Minnesota,58,,Indiana State,28,ESPNN,TCF Bank Stadium - Minneapolis Minnesota
128,3,Sep 10 2016,4:00 PM,Sat,(19) Mississippi,38,,Wofford,13,SECN,Vaught-Hemingway Stadium - Oxford Mississippi
129,3,Sep 10 2016,7:00 PM,Sat,Mississippi State,27,,South Carolina,14,ESPN,Davis Wade Stadium - Starkville Mississippi
130,3,Sep 10 2016,7:30 PM,Sat,Missouri,61,,Eastern Michigan,21,SECN,Faurot Field - Columbia Missouri
131,3,Sep 10 2016,3:30 PM,Sat,Navy,28,,Connecticut,24,CBSSN,Navy Marine Corps Memorial Stadium - Annapolis Maryland
132,3,Sep 10 2016,12:00 PM,Sat,Nebraska,52,,Wyoming,17,ESPN2,Memorial Stadium - Lincoln Nebraska
133,3,Sep 10 2016,8:00 PM,Sat,New Mexico State,32,,New Mexico,31,ESPN3,Aggie Memorial Stadium - Las Cruces New Mexico
134,3,Sep 10 2016,7:30 PM,Sat,North Carolina,48,@,Illinois,23,BTN,Memorial Stadium - Champaign Illinois
135,3,Sep 10 2016,6:00 PM,Sat,North Carolina A&T,39,@,Kent State,36,ESPN3,Dix Stadium - Kent Ohio
